timestamp,Mean Temperature,Max Temperature,Min Temperature,Precipitation,Wind Speed,Max Wind Speed
20060101,52,62,43,0.02,6,20
20060102,52,54,48,0.41,5,14
20060103,50,55,46,0,6,16
20060104,55,60,50,0,6,12
20060105,52,59,46,0,6,12
20060106,52,63,41,0,2,8
20060107,56,61,50,0.02,6,13
20060108,50,57,44,0,3,9
20060109,48,60,37,0,3,6
20060110,49,59,39,0,4,12
20060111,54,61,45,0,8,14
20060112,48,54,42,0,3,9
20060113,50,55,44,0,5,16
20060114,51,54,46,0.08,10,16
20060115,47,55,39,0,8,14
20060116,47,55,39,0,3,6
20060117,50,59,41,0.02,4,15
20060118,50,55,43,0.17,9,20
20060119,46,55,37,0,4,10
20060120,46,55,36,0,4,10
20060121,50,53,46,0,5,10
20060122,49,61,37,0,2,15
20060123,51,63,39,0,6,12
20060124,48,60,37,0,2,9
20060125,48,59,36,0,5,15
20060126,48,55,42,0,8,15
20060127,50,57,44,0,8,13
20060128,50,55,46,0.02,9,17
20060129,53,60,46,0,3,12
20060130,52,57,45,0.01,8,15
20060131,48,57,39,0,4,8
20060201,55,59,51,0,8,15
20060202,58,64,52,0,8,12
20060203,56,61,50,0,3,8
20060204,53,61,43,0.01,9,17
20060205,50,60,39,0,6,15
20060206,52,62,43,0,5,13
20060207,56,70,42,0,4,7
20060208,56,71,41,0,3,12
20060209,54,70,39,0,2,10
20060210,55,71,39,0,3,10
20060211,58,70,45,0,3,10
20060212,59,73,45,0,3,6
20060213,59,72,46,0,3,7
20060214,56,68,45,0,6,24
20060215,48,55,39,0,9,16
20060216,44,54,35,0,6,13
20060217,44,48,39,0.07,4,10
20060218,40,48,33,0.09,5,9
20060219,44,50,37,0,6,10
20060220,45,57,33,0,4,9
20060221,47,59,35,0,3,7
20060222,50,63,36,0,4,7
20060223,52,66,37,0,3,9
20060224,54,68,39,0,4,7
20060225,54,66,42,0,4,9
20060226,50,55,44,0.23,2,8
20060227,60,66,53,0.43,10,29
20060228,52,59,46,0.04,12,17
20060301,51,60,42,0.05,7,16
20060302,51,57,45,0.04,7,13
20060303,48,54,42,0.07,8,20
20060304,48,57,39,0,6,12
20060305,56,60,51,0.18,9,21
20060306,53,60,46,0.19,8,21
20060307,50,55,46,0.06,8,17
20060308,49,59,39,0,5,13
20060309,48,55,41,0.02,13,25
20060310,44,50,37,0.09,8,18
